a11y-light {rsthemes};<a href='https://github.com/gadenbuie/rsthemes'>link</a>;<a href='https://raw.githubusercontent.com//gadenbuie/rsthemes/main/inst/themes/a11y-light.rstheme'>link</a>;FALSE;<a href=''>link</a>;from the rsthemes package
Ayu-light-owl;<a href='https://github.com/js-oh/ayu-light-owl'>link</a>;<a href='https://raw.githubusercontent.com/js-oh/ayu-light-owl/master/ayu-light-owl.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/js-oh/ayu-light-owl/master/images/ayu-light-owl-script-screenshot.png'>link</a>;Ayu-light modified by the color scheme from Light Owl
Ayu Light;<a href='https://github.com/davidgibsonp/ayu-rstudio'>link</a>;<a href='https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/rstheme/ayu-light.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/light.png'>link</a>;part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)
BreezeDefault;<a href='https://github.com/nnamliehbes/Breeze-RStudio-Theme'>link</a>;<a href='https://raw.githubusercontent.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDefault.rstheme'>link</a>;FALSE;<a href='https://github.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDefault.png'>link</a>;a theme matching the Breeze theme in KDE Plasma
Driven Snow;<a href='https://github.com/mkearney/driven-snow'>link</a>;<a href='https://raw.githubusercontent.com/mkearney/driven-snow/master/theme/driven-snow.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/mkearney/driven-snow/master/img/screen-shot.png'>link</a>;a light bare-bones custom theme
Dutch Delight;<a href='https://github.com/jpsnijder/tmThemes'>link</a>;<a href='https://raw.githubusercontent.com/jpsnijder/tmThemes/master/DutchDelight.rstheme'>link</a>;FALSE;<a href=''>link</a>;part of a repository that is meant as a private theme collection
Espresso;<a href='https://github.com/jealcalat/rstudio_themes'>link</a>;<a href='https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Espresso.rstheme'>link</a>;FALSE;<a href=''>link</a>;part of a collection of modified tmthemes
Flat White {rsthemes};<a href='https://github.com/gadenbuie/rsthemes'>link</a>;<a href='https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/flat-white.rstheme'>link</a>;FALSE;<a href=''>link</a>;from the rsthemes package
gamelad;<a href='https://github.com/matt-dray/gamelad'>link</a>;<a href='https://raw.githubusercontent.com/matt-dray/gamelad/main/gamelad.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/matt-dray/gamelad/main/img/rstudio-safar6-gamelad-vt323.png'>link</a>;a theme limited to the greens of the original Nintendo Game Boy
GitHub {rsthemes};<a href='https://github.com/gadenbuie/rsthemes'>link</a>;<a href='https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/github.rstheme'>link</a>;FALSE;<a href=''>link</a>;from the rsthemes package
Material Lighter;<a href='https://github.com/lusignan/RStudio-Material-Theme'>link</a>;<a href='https://raw.githubusercontent.com/lusignan/RStudio-Material-Theme/blob/main/material-lighter.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/lusignan/RStudio-Material-Theme/main/img/material-lighter-preview.png'>link</a>;port of the Material theme in five variants
NHL Light;<a href='https://github.com/themechanicalbear/nhlthemes'>link</a>;<a href='https://raw.githubusercontent.com/themechanicalbear/nhlthemes/master/inst/NHL_Light.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/themechanicalbear/nhlthemes/master/nhlthemes_demo.gif'>link</a>;a collection of themes with color schemes based on the NHL themes. all in a light setting. currently only works on Mac
Nord Snow Storm {rsthemes};<a href='https://github.com/gadenbuie/rsthemes/'>link</a>;<a href='https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/nord-snow-storm.rstheme'>link</a>;FALSE;<a href=''>link</a>;from the rsthemes package
One Light {rsthemes};<a href='https://github.com/gadenbuie/rsthemes'>link</a>;<a href='https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/one-light.rstheme'>link</a>;FALSE;<a href=''>link</a>;from the rsthemes package
