theme_name,github_repository,github_direct_link,is_dark,screenshot,description
ayu dark,https://github.com/davidgibsonp/ayu-rstudio/,https://github.com/davidgibsonp/ayu-rstudio/raw/master/rstheme/ayu-dark.rstheme,TRUE,https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/dark.png,part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)
ayu-dark,https://github.com/graiffgarcia/ayu-ish-rstudio,https://github.com/graiffgarcia/ayu-ish-rstudio/raw/master/rstheme/ayu-dark.rstheme,TRUE,https://raw.githubusercontent.com/graiffgarcia/ayu-ish-rstudio/master/assets/ayu-dark.png,part of an ayu-ish theme collection by graiffgarcia (which is a port of the Ayu sublime theme)
ayu mirage,https://github.com/davidgibsonp/ayu-rstudio/,https://github.com/davidgibsonp/ayu-rstudio/raw/master/rstheme/ayu-mirage.rstheme,TRUE,https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/mirage.png,part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)
Base16 Eighties Dark,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Base16%20Eighties%20Dark.tmTheme,TRUE,,part of a collection of modified tmthemes
Behave,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Behave.rstheme,TRUE,,part of a collection of modified tmthemes
Darkula,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Darkula.rstheme,TRUE,,part of a collection of modified tmthemes
Eye Salvation - Dark,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Eye%20Salvation%20-%20Dark.rstheme,TRUE,,part of a collection of modified tmthemes
IceWorld - Night,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/IceWorld%20-%20Night.rstheme,TRUE,,part of a collection of modified tmthemes
KindOfDark / OneHalfLight,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/KindOfDark.rstheme,TRUE,,part of a collection of modified tmthemes
KindOfGruvbox / gruvbox,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/KindOfGruvbox.rstheme,TRUE,,part of a collection of modified tmthemes
Limelight,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Limelight.rstheme,TRUE,,part of a collection of modified tmthemes
Material Oceanic Next,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Material%20Oceanic%20Next.rstheme,TRUE,,part of a collection of modified tmthemes
Material-Theme-Darker,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Material-Theme-Darker.rstheme,TRUE,,part of a collection of modified tmthemes
MusicForProg / Monokai Datashat Edit,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/MusicForProg.rstheme,TRUE,,part of a collection of modified tmthemes
One Dark,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/One%20Dark.rstheme,TRUE,,part of a collection of modified tmthemes
One Dark Tomorrow,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/OneDarkTomorror.rstheme,TRUE,,part of a collection of modified tmthemes
Visual Studio Dark,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Visual%20Studio%20Dark.rstheme,TRUE,,part of a collection of modified tmthemes
Wombat,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/Wombat.rstheme,TRUE,,part of a collection of modified tmthemes
gruboxr,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/gruvboxr.rstheme,TRUE,,part of a collection of modified tmthemes
rscodeio,https://github.com/jealcalat/rstudio_themes,https://github.com/jealcalat/rstudio_themes/raw/master/rscodeio.rstheme,TRUE,,part of a collection of modified tmthemes
Fairyfloss {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/fairyfloss.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/fairyfloss.png,from the rsthemes package
Horizon Dark {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/horizon-dark.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/horizon_dark.png,from the rsthemes package
Horizon Dark {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/horizon-dark.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/horizon_dark.png,from the rsthemes package
Night Owl {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/night-owl.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/night_owl.png,from the rsthemes package
Nord Polar Night Aurora {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/nord-polar-night-aurora.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/nord_polar_night_aurora.png,from the rsthemes package
Oceanic Plus {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/oceanic-plus.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/oceanic_plus.png,from the rsthemes package
One Dark {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/one-dark.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/one_dark.png,from the rsthemes package
Solarized Dark {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/solarized-dark.rstheme,TRUE,https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/solarized_dark.png,from the rsthemes package
Yule RStudio (Reduced Motion) {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/yule-rstudio-reduced-motion.rstheme,TRUE,,from the rsthemes package
Yule RStudio {rsthemes},https://github.com/gadenbuie/rsthemes/,https://github.com/gadenbuie/rsthemes/raw/main/inst/themes/yule-rstudio-rsthemes.rstheme,TRUE,,from the rsthemes package
